a	какой-то
he	он|оно|она
he sayss	мол
he-goat	козёл
head	голова|глава|староста
head clerk	экспедитор
head master	директор
head mistress	директор
head of cabbage	вилок
head of hair	шевелюра
head of university	ректор
head post-office	почтамт
head waiter	метрдотель
head-dress	наколка
head-on	таран
head-phones	наушники
head-piece	шлем
head-rest	подголовник
head-set	гермошлем
headframe	копёр
heading	рубрика|заглавие
headless	безголовый
headlight	фара
headline	заголовок
headlong	стремительный|опрометью|стремглав
headmistress	директриса
headmost	передовой
headquarters	штаб|командование|штаб-квартира
heads	головка|начальство
headscarf	косынка|платок
headword in dictionary	вокабула
heady	пряный|хмельной
heal	лечить|зарасти|заживать
healer	исцелитель
healing	заживление|исцеление
health	здоровье|здравие
health centre	санаторий|диспансер
health protection	здравоохранение
health resort	курорт|здравница
health-centre	здравница
health-giving	полезный
health-resort visitor	курортник
healthily	здорово
healthy	здоровый|ядрёный|целебный
heap	груда|куча|ворох
heap up	завалить
heaping	навалка
heaps	уйма|воз|вагон
hear	слышать|услышать|слыхать
hear confession	исповедовать
hear out	выслушать|выслушивать
hearer	слушатель|слушательница
hearing	слух|слушание|суд
hearsay	слух
hearse	катафалк|дроги
hearse-cloth	покров
heart	сердце|сердечный|дух
